FIPS,County,Basin,Production,Cumulative Production,Production Magnitude,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
48163,Frio,Eagle Ford,Growth,"76,961,912",Large,5187265,2996522,2022193,1618008,1308903,1084630,914444,854764,673773,654597,592125,623031,547232,569944,524239,608510,554029,2150818,3623313,3623313,3782817,5737200,7317907,6880692,7354415,8029965,7127263
48165,Gaines,Permian,ERROR,"793,317,418",Large,39662881,38534357,37847584,37884882,36974109,36173519,34232436,33643818,33208604,31727704,30477331,29655926,29005138,27815332,26924113,25487904,24618242,24759964,24897082,24897082,23718557,24124153,24034118,22621965,23775538,24456653,22158426
48167,Galveston,None,ERROR,"18,167,404",Large,1408232,1324354,1097028,1172130,966373,943246,847295,734997,786067,634618,924050,822973,687251,678406,652577,538071,468745,530684,458316,458316,390231,419872,336609,293329,223275,207439,162920
48169,Garza,Permian,ERROR,"115,408,902",Large,6867276,6623058,6769677,6556718,6279519,6014921,5530023,5578172,5444193,5090301,4757053,4301114,4090845,3894779,3657677,3668041,3457187,3089979,3004754,3004754,2893139,2822857,2649482,2513246,2356682,2296568,2196887
48171,Gillespie,None,None,0,Small,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48173,Glasscock,Permian,Growth,"347,333,517",Large,5415985,5383720,5872179,6151774,6661369,6256862,5545673,5378258,4856727,4574845,4311922,3974418,3656853,3595384,3736545,3677709,3938516,9165258,15528780,15528780,19613737,24609761,27359560,26432702,30433288,46494434,49178478
48175,Goliad,None,Decline,"8,111,790",Large,375747,326556,307056,354658,437364,429982,431987,462091,418948,339719,294260,257392,338849,350352,285740,254109,235064,221367,267792,267792,219843,224426,232604,197918,164506,209192,206476
48177,Gonzales,Eagle Ford,Peak,"338,389,746",Large,1441674,924012,727443,699406,693954,708857,655823,536257,386306,313225,268311,210827,214113,221158,217769,221683,196703,9003620,24030282,24030282,42083612,47305552,40336813,35309782,31500756,34740049,41411477
48179,Gray,Anadarko,ERROR,"40,153,777",Large,2529810,2414845,2354478,2393967,2397378,2225600,1912540,1876162,1827281,1641021,1483544,1379195,1291342,1211398,1174150,1156170,1059875,1050497,1063893,1063893,1046358,1018261,963666,896735,923911,921802,876005
48181,Grayson,None,Decline,"40,164,903",Large,1965628,1828740,1727039,1780301,1732803,1945001,1670219,1509574,1432253,1363419,1298419,1323589,1465484,1360418,1157916,1143374,1035455,1348117,1725541,1725541,1693361,1819560,1601724,1305981,1124429,1074474,1006543
48183,Gregg,Haynesville,ERROR,"178,528,702",Large,25504179,23773083,21309063,19006927,15789161,12616468,8883265,5847993,4262641,3494235,3164878,2826912,2743152,2706714,2512422,2434313,2253696,2271627,2229322,2229322,2245946,2316783,2169499,1626068,1472338,1458641,1380054
48185,Grimes,Eagle Ford,Scatter,"12,414,719",Large,304162,632330,1024419,565495,277966,150655,149897,164812,169346,134467,102393,198542,122461,103236,99212,116991,129564,538988,799995,799995,1142610,1350458,1086816,806457,604725,470843,367884
48187,Guadalupe,None,ERROR,"28,272,853",Large,1272201,1263093,1374289,1262037,1099656,1326284,947147,976055,992359,894861,1003208,1054386,1489239,1417201,1209594,1147382,1055462,988595,991911,991911,967651,896789,807090,711386,718699,706523,707844
48189,Hale,Permian,ERROR,"55,671,607",Large,1427773,1206297,1071498,1009736,1108418,1722489,2452220,2804997,3454118,4270611,3490101,2975071,2792260,2088353,2799959,2806339,2510105,2185795,1937467,1937467,1703815,1549194,1488596,1386439,1298148,1240235,954106
48191,Hall,None,None,0,Small,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48193,Hamilton,None,Decline,"22,966",Small,1667,2477,2182,1717,1625,796,780,599,678,811,1161,294,1353,700,389,370,907,883,819,819,972,269,276,67,294,35,26
48195,Hansford,Anadarko,Scatter,"6,269,404",Large,335694,367723,340372,323617,317548,266692,211794,178761,159372,159509,178558,165470,141729,134122,134750,207878,313113,257889,256657,256657,203149,201630,179497,129362,233316,364909,249636
48197,Hardeman,None,ERROR,"43,812,545",Large,2607518,2445496,2726171,2816662,2586166,2582454,2336097,2203273,2097943,2168549,2249274,2080157,1832337,1486012,1252382,1205311,1026018,820919,934785,934785,888689,818087,806291,691816,687828,733130,794395
48199,Hardin,None,Decline,"34,079,770",Large,1939567,1688964,1517295,1471103,1377220,1301327,1253572,1253496,1155692,1060175,1077717,1335469,1251373,1303791,1327762,1551014,1220434,1094339,1260571,1260571,1288824,1207744,1060234,1025411,949728,932845,913532
48201,Harris,None,Decline,"50,967,979",Large,4355067,3627711,3487305,3513266,3489971,3111633,2335766,2016452,1868264,1789772,1695073,1654802,1620619,1603839,1508740,1409335,1302371,1161675,1226268,1226268,1204493,1190800,1095633,990924,873445,828961,779526
48203,Harrison,Haynesville,Decline,"12,686,178",Large,895151,786085,680314,686477,684801,613173,531206,532825,492759,475356,471973,465617,460813,455113,405805,373506,333096,317426,327413,327413,330599,416937,332660,282689,266371,365088,375512
48205,Hartley,None,Scatter,"7,958,623",Large,322623,307412,288509,304097,381880,373451,357199,408090,350288,314247,270292,229971,212585,174568,207034,212169,224788,350157,324161,324161,356434,490388,340916,238558,170933,200793,222919
48207,Haskell,None,Growth,"15,252,029",Large,1014263,849053,750054,756144,832927,751528,636611,592324,539255,474929,416456,399973,350044,328340,311158,306941,313723,396484,462883,462883,519304,607234,552867,523454,576765,642520,883912
48209,Hays,None,None,34,Small,15,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48211,Hemphill,Anadarko,Peak,"12,461,096",Large,288041,235845,179566,156267,141886,138341,143619,208398,250648,297809,204607,185573,175056,164530,222404,236820,165046,346451,772798,772798,1311726,1584908,1878499,887568,582727,488017,441148
48213,Henderson,None,ERROR,"23,150,818",Large,1760547,1854557,1894989,1769676,1581838,1450673,1360906,1214883,1033360,927641,798209,693515,576748,445136,397753,315693,280364,243615,225101,225101,231403,461750,635671,848138,912669,575667,435215
48215,Hidalgo,None,Decline,"1,999,304",Large,113509,132615,181728,141349,106259,90623,94778,85516,87709,78526,54242,48186,58971,56402,102280,76997,68711,36329,20966,20966,27107,44221,56622,54775,53942,56504,49471
48217,Hill,Barnett,Decline,"20,784",Small,3524,2798,2287,634,1716,928,857,1150,1205,1161,253,54,2,0,0,474,1253,1132,649,649,44,4,9,0,0,1,0
48219,Hockley,Permian,ERROR,"527,706,397",Large,28255496,27037356,26020940,26686173,25664233,25847881,23748864,23107040,22543709,22164313,21705364,20675978,20025211,19597778,18991981,18418217,17473762,15873975,15434556,15434556,14908847,14453023,13740137,12960632,12657113,12370408,11908854
48221,Hood,Barnett,None,"5,778",Small,0,0,0,0,0,0,0,0,0,0,0,0,0,1013,670,695,2854,78,33,33,269,132,0,1,0,0,0
48223,Hopkins,None,Decline,"8,860,061",Large,740639,651365,589913,531024,439602,385666,343419,328040,299747,277919,408380,400898,361805,290423,255521,220057,263709,253434,258306,258306,227099,231257,194375,169845,166923,159229,153160
48225,Houston,None,Peak,"22,437,280",Large,597519,644117,700616,696825,826837,949275,872306,839225,796443,724999,650349,648088,745478,710812,716386,712465,755495,767166,976320,976320,1015350,1344090,2126897,970786,587238,579785,506093
48227,Howard,Permian,Growth,"411,919,114",Large,9578174,9444789,9424212,9151735,9024344,8127397,7134883,7507306,7474420,7126135,7086812,6319098,6060658,5685375,5522777,5496859,5495850,7740407,9831272,9831272,11879945,14647784,17778347,23597218,40404432,66342360,84205253
48229,Hudspeth,Permian,None,0,Small,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48231,Hunt,None,Decline,"125,618",Large,50772,30324,18746,10936,7059,4523,412,0,9,5,15,0,0,0,0,0,0,0,0,0,123,196,201,348,880,610,459
48233,Hutchinson,Anadarko,None,"26,318,259",Large,1691451,1633021,1578954,1915177,1706907,1395962,1204594,1168939,1078730,960820,904058,884484,845933,775894,830642,848578,808277,738516,741192,741192,695804,666841,566993,454828,477560,524177,478735
48235,Irion,Permian,Peak,"138,643,519",Large,2965903,2753897,3148726,2579214,2661134,2569545,1903188,1654455,1624847,1567856,1611691,1467254,1436439,1578609,1944457,2500682,2382836,3489599,6368323,6368323,11108974,16018890,14802286,10798687,9758072,10532947,13046685
48237,Jack,Barnett,Peak,"26,848,174",Large,1430963,1239617,1181817,1065842,1154181,1061010,927556,946183,804916,693896,661706,616789,575013,556334,616442,707015,683826,924966,1507169,1507169,1403868,1895473,1491629,885226,754432,710454,844682
48239,Jackson,None,Growth,"31,108,898",Large,2216551,1936326,1743951,1683034,1512115,1550336,1153111,1145922,1093181,1010306,936987,874558,772349,754298,674361,730545,693162,675084,661678,661678,722269,718599,609027,576799,1538206,2146091,2318374
48241,Jasper,None,Decline,"10,254,190",Large,713342,1042340,930982,934736,557322,451277,290734,200599,153834,187049,147542,280395,188818,244444,302226,367853,539189,249117,213010,213010,184039,240875,243064,234435,364650,476409,302899
48243,Jeff Davis,Permian,None,0,Small,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48245,Jefferson,None,ERROR,"24,728,562",Large,1509083,1455517,1187626,1073722,1036678,774448,808259,932409,917217,943367,787913,713863,845467,841452,1091536,900396,894179,828065,820739,820739,1203399,1089191,748865,671735,694966,619156,518575
48247,Jim Hogg,None,Decline,"2,147,060",Large,320586,245663,184055,166682,163490,141580,102892,81820,68971,92205,54962,59456,59177,56734,48498,44063,33745,26688,28653,28653,31267,27907,20235,16981,13611,14949,13537
48249,Jim Wells,None,Decline,"4,790,577",Large,424260,350466,340327,284016,318757,291425,235851,194154,182692,175659,167797,152025,156072,128064,120739,138578,143347,106867,109265,109265,126650,108725,83882,85445,96374,78909,80966
48251,Johnson,Barnett,None,0,Small,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
