FIPS,County,Year,Oil (bbl),Casinghead (mcf),GW Gas (mcf),Condensate (bbl),Daily Rate (bbl/day),Oil (Million BBL),Daily Oil Rate (Thousand BBL/DAY),Growth Rate (%),Daily,Counties Over 1000 BBL since 2010,Counties Over 1000 BBL,Cumulative Oil (bbl),Natural Gas from Gas Wells (Billion Cubic Feet)
48359,Oldham,2012,915326,675137,103206,0,2507.742466,0.915326,2.507742466,0,2.507742466,0,0,3244223,0.103206
48361,Orange,2012,599869,1418087,13334937,678837,1643.476712,0.599869,1.643476712,0,1.643476712,0,0,6251623,13.334937
48363,Palo Pinto,2012,236341,2537770,14065366,132955,647.509589,0.236341,0.647509589,0,0.647509589,0,0,3359826,14.065366
48365,Panola,2012,460525,2888099,293845956,1652000,1261.712329,0.460525,1.261712329,0,1.261712329,0,0,5645473,293.845956
48367,Parker,2012,5638,390144,108835808,213991,15.44657534,0.005638,0.015446575,0,0.015446575,0,0,108611,108.835808
48369,Parmer,2012,0,0,0,0,0,0,0,0,0,0,0,0,0
48371,Pecos,2012,9687507,35644206,110434098,104851,26541.11507,9.687507,26.54111507,0,26.54111507,0,0,139927255,110.434098
48373,Polk,2012,668106,613678,23100709,949610,1830.427397,0.668106,1.830427397,0,1.830427397,0,0,6956183,23.100709
48375,Potter,2012,180009,286710,10347713,0,493.1753425,0.180009,0.493175342,0,0.493175342,0,0,2360311,10.347713
48377,Presidio,2012,0,0,0,0,0,0,0,0,0,0,0,85,0
48379,Rains,2012,0,0,3285770,0,0,0,0,0,0,0,0,0,3.28577
48381,Randall,2012,0,0,0,0,0,0,0,0,0,0,0,0,0
48383,Reagan,2012,11382700,49553499,2010920,23199,31185.47945,11.3827,31.18547945,0,31.18547945,0,0,85750171,2.01092
48385,Real,2012,550,4329,54165,0,1.506849315,0.00055,0.001506849,0,0.001506849,0,0,27107,0.054165
48387,Red River,2012,108726,3579,0,0,297.8794521,0.108726,0.297879452,0,0.297879452,0,0,2461482,0
48389,Reeves,2012,7824165,14705357,22569665,230119,21436.06849,7.824165,21.43606849,0,21.43606849,0,0,27737761,22.569665
48391,Refugio,2012,3308570,11734462,3950660,93709,9064.575342,3.30857,9.064575342,0,9.064575342,0,0,51874736,3.95066
48393,Roberts,2012,1765038,10754850,63662377,1311453,4835.720548,1.765038,4.835720548,0,4.835720548,0,0,9240257,63.662377
48395,Robertson,2012,1606527,1062721,137930309,7240,4401.443836,1.606527,4.401443836,0,4.401443836,0,0,18772327,137.930309
48397,Rockwall,2012,0,0,0,0,0,0,0,0,0,0,0,0,0
48399,Runnels,2012,512820,1730079,260435,4064,1404.986301,0.51282,1.404986301,0,1.404986301,0,0,7424159,0.260435
48401,Rusk,2012,1884228,2126078,110990256,790521,5162.268493,1.884228,5.162268493,0,5.162268493,0,0,31082452,110.990256
48403,Sabine,2012,7109,56650,10980522,1106,19.47671233,0.007109,0.019476712,0,0.019476712,0,0,173146,10.980522
48405,San Augustine,2012,30712,490438,128662952,172618,84.14246575,0.030712,0.084142466,0,0.084142466,0,0,324526,128.662952
48407,San Jacinto,2012,141737,200029,7318861,258081,388.3205479,0.141737,0.388320548,0,0.388320548,0,0,725871,7.318861
48409,San Patricio,2012,415873,672629,8811133,300928,1139.378082,0.415873,1.139378082,0,1.139378082,0,0,5966752,8.811133
48411,San Saba,2012,0,0,0,0,0,0,0,0,0,0,0,0,0
48413,Schleicher,2012,434926,2261789,11201273,69287,1191.578082,0.434926,1.191578082,0,1.191578082,0,0,5517855,11.201273
48415,Scurry,2012,15061198,35147899,0,0,41263.55616,15.061198,41.26355616,0,41.26355616,0,0,171577211,0
48417,Shackelford,2012,638329,743592,1711154,13874,1748.846575,0.638329,1.748846575,0,1.748846575,0,0,9936763,1.711154
48419,Shelby,2012,75643,1829813,105260056,86226,207.2410959,0.075643,0.207241096,0,0.207241096,0,0,1304795,105.260056
48421,Sherman,2012,55008,56455,17885488,3061,150.7068493,0.055008,0.150706849,0,0.150706849,0,0,1407106,17.885488
48423,Smith,2012,1316774,1147991,19884336,120870,3607.6,1.316774,3.6076,0,3.6076,0,0,15919138,19.884336
48425,Somervell,2012,0,0,7904276,10957,0,0,0,0,0,0,0,0,7.904276
48427,Starr,2012,351338,865112,76759483,1305377,962.569863,0.351338,0.962569863,0,0.962569863,0,0,8268149,76.759483
48429,Stephens,2012,2100216,3245118,10592105,50423,5754.016438,2.100216,5.754016438,0,5.754016438,0,0,30377518,10.592105
48431,Sterling,2012,1196329,7545424,3412413,23556,3277.613699,1.196329,3.277613699,0,3.277613699,0,0,14049580,3.412413
48433,Stonewall,2012,1694083,883297,0,0,4641.323288,1.694083,4.641323288,0,4.641323288,0,0,16823162,0
48435,Sutton,2012,140556,38947,45466227,47073,385.0849315,0.140556,0.385084932,0,0.385084932,0,0,474956,45.466227
48437,Swisher,2012,0,0,0,0,0,0,0,0,0,0,0,0,0
